IP Address,Country,City,ISP,Organization,AS Number,DNS Name,Related Flows,Flow IDs
206.190.153.185,United States,Kansas City,UK-2 Limited,"Hosting Services, Inc.",AS13213 UK-2 Limited,host.trsonlinemediav-185.us,1,192.168.100.111:63665-206.190.153.185:81-TCP
219.84.91.146,Taiwan,Taipei,Sony Network Taiwan Limited,SONET,AS18182 Sony Network Taiwan Limited,No DNS record,1,192.168.100.111:37314-219.84.91.146:23-TCP
99.58.240.32,United States,Jacksonville,"AT&T Services, Inc.",AT&T Corp.,"AS7018 AT&T Services, Inc.",No DNS record,1,192.168.100.111:49476-99.58.240.32:23-TCP
185.96.175.112,Portugal,Lisbon,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,CPRMNET Backbone,AS8657 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,No DNS record,1,185.96.175.112:81-192.168.100.111:23013-TCP
62.142.187.222,Finland,Helsinki,Elisa Oyj,Elisa Oyj,AS719 Elisa Oyj,No DNS record,1,192.168.100.111:17208-62.142.187.222:23-TCP
23.34.147.19,United States,San Jose,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",a23-34-147-19.deploy.static.akamaitechnologies.com,1,192.168.100.111:33732-23.34.147.19:23-TCP
128.16.127.209,United Kingdom,London,Jisc Services Limited,University College London,AS786 Jisc Services Limited,No DNS record,1,128.16.127.209:23-192.168.100.111:19415-TCP
122.255.91.253,Taiwan,Taipei,TWNTT,NTT Taiwan Ltd.,"AS2914 NTT America, Inc.",No DNS record,1,122.255.91.253:81-192.168.100.111:16784-TCP
206.88.97.58,United States,Atlanta,ADP,"Electrical Insulation Suppliers, Inc",,No DNS record,1,192.168.100.111:59497-206.88.97.58:81-TCP
82.108.93.27,United Kingdom,London,Easynet UK,Surestream Numbered Links,AS3257 GTT Communications Inc.,No DNS record,1,192.168.100.111:24740-82.108.93.27:81-TCP
138.75.30.158,Singapore,Singapore,M1 LIMITED,M1 LIMITED,AS4773 MobileOne Ltd. Mobile/Internet Service Provider Singapore,No DNS record,1,138.75.30.158:81-192.168.100.111:10634-TCP
120.217.93.95,China,Zhengzhou,China Mobile communications corporation,China Mobile,"AS24445 Henan Mobile Communications Co.,Ltd",No DNS record,1,120.217.93.95:81-192.168.100.111:17664-TCP
181.50.227.4,Colombia,Bogotá,Telmex Colombia S.A.,Telmex Colombia S.A.,AS10620 Telmex Colombia S.A.,dynamic-ip-1815002274.cable.net.co,1,181.50.227.4:81-192.168.100.111:30559-TCP
168.59.225.222,United States,Austin,General Services Commission,Texas Department of Information Resources,AS1761 General Services Commission,No DNS record,1,168.59.225.222:23-192.168.100.111:23838-TCP
103.145.188.86,China,Weifang,HY-IDC,"Shandong Huayun Interconnection Information Technology Co., Ltd.",,No DNS record,1,103.145.188.86:81-192.168.100.111:15824-TCP
