IP Address,Country,City,ISP,Organization,AS Number,DNS Name,Related Flows,Flow IDs
63.1.67.109,United States,Boston,Verizon Business,Verizon Business,AS701 Verizon Business,No DNS record,1,192.168.100.111:23284-63.1.67.109:81-TCP
25.144.99.77,United Kingdom,London,UK Ministry of Defence,UK Ministry of Defence,,No DNS record,1,192.168.100.111:44023-25.144.99.77:81-TCP
129.107.52.199,United States,Arlington,University of Texas at Arlington,University of Texas at Arlington,AS18515 University of Texas at Arlington,No DNS record,1,129.107.52.199:81-192.168.100.111:55415-TCP
84.245.209.196,Latvia,Riga,Livas Net SIA,,AS34001 SIA LIVAS NET,customer.245.209.196.livas.lv,1,192.168.100.111:45450-84.245.209.196:81-TCP
196.52.16.69,Mauritius,Ebene CyberCity,African Network Information Center - (AfriNIC) Ltd,,,No DNS record,1,192.168.100.111:29930-196.52.16.69:55918-UDP
194.57.43.59,France,Paris,Renater,U Parissud Orsay,AS2200 Renater,No DNS record,1,192.168.100.111:39032-194.57.43.59:81-TCP
188.244.208.227,Russia,Yuzhno-Sakhalinsk,TTK-Retail,,"AS15774 Limited Liability Company ""TTK-Svyaz""",188.244.208.227.static.sakhttk.ru,1,188.244.208.227:28240-192.168.100.111:29930-UDP
145.113.208.234,The Netherlands,Utrecht,SURFNET-BLOCKB,SURFnet bv,,SURFnet-NL.IPv4.PTR.145.113.x.INVALID,1,145.113.208.234:81-192.168.100.111:65091-TCP
175.42.225.209,China,Putian,China Unicom Fujian Province Network,,AS4837 CHINA UNICOM China169 Backbone,No DNS record,1,175.42.225.209:6339-192.168.100.111:29930-UDP
63.179.42.191,Germany,Frankfurt am Main,Amazon.com,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",ec2-63-179-42-191.eu-central-1.compute.amazonaws.com,1,192.168.100.111:64511-63.179.42.191:81-TCP
74.66.20.16,United States,New York,Charter Communications,Spectrum,AS12271 Charter Communications Inc,syn-074-066-020-016.res.spectrum.com,1,192.168.100.111:29930-74.66.20.16:1024-UDP
162.219.57.140,United States,Van Nuys,"LT-WR, LLC","LT-WR, LLC","AS394862 LT-WR, LLC",No DNS record,1,162.219.57.140:81-192.168.100.111:1556-TCP
94.123.1.18,Turkey,Bahçelievler,Andromeda TV Digital Platform Isletmeciligi A.S.,DOL,AS12978 ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.,No DNS record,1,192.168.100.111:58075-94.123.1.18:81-TCP
173.84.165.12,United States,Powell,Frontier Communications Solutions,BDSL Frontier Communications Cookville TN,"AS5650 Frontier Communications of America, Inc.",static-173-84-165-12.car01.ckvl.tn.frontiernet.net,1,173.84.165.12:81-192.168.100.111:55480-TCP
86.57.150.211,Belarus,Minsk,Republican Unitary Telecommunication Enterprise Beltelecom,Kreativfuds Minsk,AS6697 Republican Unitary Telecommunication Enterprise Beltelecom,mm-211-150-57-86.static.mgts.by,1,192.168.100.111:29930-86.57.150.211:49160-UDP
83.31.39.195,Poland,Lublin,Orange Polska Spolka Akcyjna,Orange Polska S.A.,AS5617 Orange Polska Spolka Akcyjna,83.31.39.195.ipv4.supernova.orange.pl,1,192.168.100.111:29930-83.31.39.195:26367-UDP
